0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
79   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ophelia/spotlight/jetty/contexts at interval 0
92   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ophelia/spotlight/jetty/contexts/solr.xml
2840130 [qtp1364614850-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=2&wt=ruby&facet=false} hits=204 status=0 QTime=3 
2898574 [qtp1364614850-14] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=204 status=0 QTime=4 
2898706 [qtp1364614850-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q={!lucene}id:(1-2+OR+1-3+OR+1-4+OR+1-1)&qt=search&spellcheck=false&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=4 status=0 QTime=12 
2906266 [qtp1364614850-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q={!lucene}id:(1-1)&qt=search&spellcheck=false&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=1 status=0 QTime=6 
2914124 [qtp1364614850-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=id&fl=full_title_tesim&fl=thumbnail_url_ssm&fl=full_image_url_ssm&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby&facet=false} hits=203 status=0 QTime=2 
2914142 [qtp1364614850-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=id&fl=full_title_tesim&fl=thumbnail_url_ssm&fl=full_image_url_ssm&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby&facet=false} hits=203 status=0 QTime=4 
2915678 [qtp1364614850-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=204 status=0 QTime=3 
2915724 [qtp1364614850-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=id&fl=full_title_tesim&fl=thumbnail_url_ssm&fl=full_image_url_ssm&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby&facet=false} hits=203 status=0 QTime=2 
2922440 [qtp1364614850-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=204 status=0 QTime=3 
2922563 [qtp1364614850-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=id&fl=full_title_tesim&fl=thumbnail_url_ssm&fl=full_image_url_ssm&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby&facet=false} hits=203 status=0 QTime=16 
2928305 [qtp1364614850-14] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=204 status=0 QTime=6 
2943092 [qtp1364614850-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=timestamp+desc&rows=10&wt=ruby} hits=204 status=0 QTime=7 
2950985 [qtp1364614850-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=exhibit_test-exhibit_tags_ssim:[*+TO+*]&facet.query=spotlight_upload_consolesave_tesim:[*+TO+*]&facet.limit=21&qt=search&fl=*&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=0&wt=ruby&facet=true} hits=203 status=0 QTime=23 
3030283 [qtp1364614850-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=204 status=0 QTime=13 
3030437 [qtp1364614850-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q={!lucene}id:(1-2+OR+1-3+OR+1-4+OR+1-1)&qt=search&spellcheck=false&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=10&wt=ruby} hits=4 status=0 QTime=8 
3033954 [qtp1364614850-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=search&fl=*&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=timestamp+desc&rows=10&wt=ruby} hits=204 status=0 QTime=5 
3041608 [qtp1364614850-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=exhibit_test-exhibit_tags_ssim:[*+TO+*]&facet.query=spotlight_upload_consolesave_tesim:[*+TO+*]&facet.limit=21&qt=search&fl=*&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=0&wt=ruby&facet=true} hits=203 status=0 QTime=10 
3102354 [qtp1364614850-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/get params={qt=document&ids=1-1&wt=ruby} status=0 QTime=0 
3102437 [qtp1364614850-14] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/get params={qt=document&ids=1-2&wt=ruby} status=0 QTime=1 
3104855 [qtp1364614850-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=exhibit_test-exhibit_tags_ssim:[*+TO+*]&facet.query=spotlight_upload_consolesave_tesim:[*+TO+*]&facet.limit=21&qt=search&fl=*&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=0&wt=ruby&facet=true} hits=203 status=0 QTime=23 
3112862 [qtp1364614850-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=exhibit_test-exhibit_tags_ssim:[*+TO+*]&facet.query=spotlight_upload_consolesave_tesim:[*+TO+*]&facet.limit=21&qt=search&fl=*&fq=-exhibit_test-exhibit_public_bsi:false&fq=spotlight_exhibit_slug_test-exhibit_bsi:true&sort=score+desc&rows=0&wt=ruby&facet=true} hits=203 status=0 QTime=14 
